study_id,model,n_tickers,n_train_seq,n_val_seq,n_trade_seq,val_acc,val_auc,trade_acc,mean_return_%,std_return_%,sharpe_annual
1,LSTM_baseline,139,56823,14206,34750,0.5060537800929185,0.5189427911880454,0.5045254119285217,0.03303544733418274,0.6156594212875939,0.8518045049636975
1,LSTM_focal,139,56823,14206,34750,0.5053498521751373,0.510682760745442,0.5042063123694592,-0.02121973357933316,0.5638690741669904,-0.5973954647635327
1,RF,139,56823,14206,34750,0.5364634661410671,0.5537550446540874,0.4993037827802274,-0.010781859489785701,0.43209182641126787,-0.39611189757146714
2,LSTM_baseline,141,57640,14411,35250,0.5119006314620775,0.5092216388468661,0.5041752459391443,0.02218181186247064,0.6430430223851624,0.5475922055656904
2,LSTM_focal,141,57640,14411,35250,0.505447227812088,0.5065412165668328,0.5039178677648135,-0.003494295088273087,0.6068289197908443,-0.09140997249338313
2,RF,141,57640,14411,35250,0.5289015335507599,0.5458502307369598,0.49822695035460995,-0.043764310448823715,0.4609733555163786,-1.5071085609896913
3,LSTM_baseline,144,58867,14717,36000,0.5048583271047088,0.5084718930802371,0.4988519265232975,0.026664359437824837,0.45503469453240253,0.9302226593576676
3,LSTM_focal,144,58867,14717,36000,0.5043826866888632,0.5070673135168517,0.5003080197132617,0.04251602413859863,0.47164283910074095,1.431000120605131
3,RF,144,58867,14717,36000,0.5302031664061969,0.547583822860216,0.5017361111111112,-0.017288773160891852,0.3821656303771777,-0.7181461223289465
4,LSTM_baseline,147,60093,15024,36750,0.5043929712460063,0.5071413020333655,0.5027430326969498,0.01699264774544527,0.5244845679323129,0.5143143131346355
4,LSTM_focal,147,60093,15024,36750,0.5051916932907349,0.5037813174019233,0.5030721966205837,0.08256728622891917,0.4754049911999172,2.7570493768671174
4,RF,147,60093,15024,36750,0.525825346112886,0.5363525850571789,0.5005486065393899,0.020733818726069848,0.3560462812618549,0.9244280471088061
5,LSTM_baseline,148,60502,15126,37000,0.5048261271982017,0.5097423870358762,0.5016619442022667,0.042682585857860535,0.5280207550157093,1.2832166889693764
5,LSTM_focal,148,60502,15126,37000,0.5014544492926087,0.4975888443503965,0.5016891891891891,-0.03693824670107339,0.5102317917939928,-1.149235498958293
5,RF,148,60502,15126,37000,0.5216184053946846,0.5313890541558164,0.5014167393199651,-0.031189758748853887,0.40461111049061166,-1.2236986522912086
6,LSTM_baseline,156,63772,15944,39000,0.49811841445057703,0.5009105097954801,0.5017059553349876,0.08353647230539898,0.5843470504258609,2.2693712337144256
6,LSTM_focal,156,63772,15944,39000,0.4998745609633718,0.4987699632551483,0.5017059553349876,0.034109522220661666,0.5509942195553034,0.9827178935699646
6,RF,156,63772,15944,39000,0.5180632212744606,0.5294489247819416,0.5014474772539289,-0.03858308481324387,0.4126782947482973,-1.4841766363091835
7,LSTM_baseline,159,64999,16250,39750,0.5045538461538461,0.5045406983447861,0.4988587948874011,-0.03588578782195722,0.4978387587433515,-1.1442845922827258
7,LSTM_focal,159,64999,16250,39750,0.5011076923076923,0.5046933830666742,0.4965763846622033,-0.03462652885033913,0.5185939468718941,-1.0599412274979532
7,RF,159,64999,16250,39750,0.532,0.5489539623257096,0.4997717589774802,-0.015768746995461734,0.38284279209134564,-0.6538482724334694
8,LSTM_baseline,161,65816,16455,40250,0.5074445457307809,0.506257887746162,0.5041825285513926,0.017139792843113136,0.5436793599681686,0.5004526497606651
8,LSTM_focal,161,65816,16455,40250,0.5067152841081738,0.5060673555532245,0.5024043277900221,-0.04966379234159461,0.5555749007380204,-1.4190494587750342
8,RF,161,65816,16455,40250,0.5341841385597083,0.5524801098042229,0.5034311761170106,-0.024075885118877257,0.5030037414816196,-0.7598210434461065
9,LSTM_baseline,168,68678,17170,42000,0.502970297029703,0.5084990073965753,0.49992799539170507,0.005018524675476603,0.5198095729953364,0.1532611432672251
9,LSTM_focal,168,68678,17170,42000,0.4983110075713454,0.5053290901784743,0.49867991551459295,-0.010155437726571884,0.5395360125889351,-0.29879854600159894
9,RF,168,68678,17170,42000,0.5355853232382062,0.5550830586926097,0.5009600614439325,-0.0015583973443773272,0.38918216830840247,-0.06356609556343136
10,LSTM_baseline,172,70313,17579,43000,0.5022469992604812,0.502921787678113,0.5011252813203301,-0.5353104479455922,6.550964107877813,-1.2971815715877286
10,LSTM_focal,172,70313,17579,43000,0.5006541896581148,0.503272529829166,0.4997421230307577,0.930268696742573,6.905324460293623,2.1385755049178568
10,RF,172,70313,17579,43000,0.550486375789294,0.5784393952797057,0.5009142910727682,0.3793914998816644,4.717943649478212,1.276542026943907
