ticker
AAL
AAPL
ABNB
ADBE
ADI
ADP
ADSK
AEOS
AEP
ALAB
ALGN
ALNY
ALTR
ALXN
AMAT
AMD
AMGN
AMLN
AMZN
ANSS
AKAM
APCC
APOL
APP
ARM
ASML
ATVI
AVGO
AXON
AZN
BATRA
BATRK
BBBY
BEAS
BIDU
BIIB
BKNG
BKR
BMC
BMET
BMRN
CA
CCEP
CDNS
CDW
CDWC
CEG
CELG
CEPH
CERN
CHTR
CHKP
CHRW
CKFR
CMCSA
CMVT
COST
CPRT
CRWD
CRWV
CSCO
CSGP
CSX
CTAS
CTRX
CTSH
CTXS
DASH
DDOG
DELL
DOCU
DISCA
DISCK
DISH
DLTR
DTV
DXCM
EA
EBAY
ENDP
ENPH
EQUIX
ERIC
ESRX
EXC
EXPD
EXPE
FANG
FAST
FER
FFIV
FI
FMCN
FLEX
FLIR
FOSL
FOX
FOXA
FSLR
FTNT
FWLT
GEHC
GENZ
GFS
GILD
GMCR
GOOG
GOOGL
GOLD
GRMN
HANS
HAS
HOLX
HON
HONA
HSIC
IACI
IDXX
ILMN
INCY
INFY
INSM
INTC
INTU
ISRG
JAVA
JBHT
JD
JNPR
JOYG
KDP
KFT
KHC
KLAC
KRFT
LAMR
LBTYA
LBTYK
LCID
LEAP
LIFE
LILA
LILAK
LIN
LITE
LLTC
LMCA
LMCK
LOGI
LRCX
LULU
LVLT
MAR
MAT
MCHP
MDB
MDLZ
MEDI
MELI
META
MICC
MNST
MPWR
MRNA
MRVL
MSFT
MSTR
MTCH
MU
MXIM
MYL
NBIS
NCLH
NFLX
NIHD
NLOK
NLTI
NTAP
NTES
NUAN
NVDA
NWSA
NXPI
ODFL
ON
OKTA
ORCL
ORLY
PANW
PAYX
PCAR
PCLN
PDCO
PDD
PEP
PETM
PLTR
PPDI
PRGO
PTEN
PTON
PYPL
QCOM
QGEN
QRTEA
REGN
RIMM
RIVN
RKLB
ROP
ROST
RYAAY
SBAC
SBUX
SGEN
SEPR
SHLD
SHOP
SHPG
SIAL
SIRI
SOLS
SMCI
SNDK
SNPS
SPCX
SPLK
SPLS
SRCL
STLD
STRZA
STX
SWKS
TCOM
TEAM
TER
TEVA
TLAB
TMUS
TRI
TRIP
TSCO
TSLA
TTD
TTWO
TXN
UAL
UAUA
ULTA
URBN
VIAB
VIP
VMED
VOD
VRSK
VRSN
VRTX
VSNT
WBA
WBD
WCRX
WDAY
WDC
WFM
WFMI
WMT
WTW
WYNN
XEL
XLNX
XMSR
XRAY
YHOO
ZM
ZS
